,Year,Month,Event Date and Time,Restoration Date and Time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected
0,2024,1,01/01/2024 1:55 PM,01/01/2024 2:05 PM,"0 Hours, 10 Minutes",LUMA Energy,,Puerto Rico:,System-wide voltage reductions of 3 percent or more. Firm load shedding of 100 Megawatts or more implemented under emergency operational policy-- Generator loss or failure,40,89245
1,2024,1,01/02/2024 3:05 PM,01/02/2024 3:13 PM,"0 Hours, 8 Minutes",LUMA Energy,,Puerto Rico:,System-wide voltage reductions of 3 percent or more-- Generator loss or failure,50,64131
2,2024,1,01/04/2024 5:21 PM,01/04/2024 5:35 PM,"0 Hours, 14 Minutes",LUMA Energy,,Puerto Rico:,System-wide voltage reductions of 3 percent or more-- Generator loss or failure,0,0
3,2024,1,01/05/2024 12:29 AM,01/05/2024 1:06 AM,"0 Hours, 37 Minutes",LUMA Energy,,Puerto Rico:,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident. Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.-- Generator loss or failure,300,161194
4,2024,1,01/05/2024 4:03 PM,01/05/2024 4:14 PM,"0 Hours, 11 Minutes",LUMA Energy,,Puerto Rico:,System-wide voltage reductions of 3 percent or more. Firm load shedding of 100 Megawatts or more implemented under emergency operational policy-- Generator loss or failure,130,52423
5,2024,1,01/05/2024 6:35 PM,01/05/2024 7:04 PM,"0 Hours, 29 Minutes",LUMA Energy,,Puerto Rico:,System-wide voltage reductions of 3 percent or more. Firm load shedding of 100 Megawatts or more implemented under emergency operational policy-- Generator loss or failure,95,79445
6,2024,1,01/08/2024 6:05 AM,01/08/2024 6:15 AM,"0 Hours, 10 Minutes",LUMA Energy,,Puerto Rico:,System-wide voltage reductions of 3 percent or more. Firm load shedding of 100 Megawatts or more implemented under emergency operational policy-- Generator loss or failure,170,89245
7,2024,1,01/08/2024 9:00 AM,01/08/2024 9:01 AM,"0 Hours, 1 Minutes",Georgia Transmission Corporation,SERC,Georgia: Fulton County;,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.-- Suspicious activity",0,0
8,2024,1,01/09/2024 12:45 AM,01/10/2024 4:41 PM,"39 Hours, 56 Minutes",Puget Sound Energy,WECC,"Washington: King County, Thurston County, Pierce County, Kittitas County, Kitsap County, Island County, Skagit County, Whatcom County;","Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,75180
9,2024,1,01/09/2024 4:00 AM,01/10/2024 1:19 PM,"33 Hours, 19 Minutes",Southern Company,SERC,Alabama: Georgia: Mississippi:,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",15,2131
10,2024,1,01/09/2024 1:34 PM,. .,". Hours, . Minutes",Duke Energy Carolinas,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,108718
11,2024,1,01/09/2024 1:34 PM,01/09/2024 8:56 PM,"7 Hours, 22 Minutes",Duke Energy Carolinas,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,109212
12,2024,1,01/09/2024 4:00 PM,01/09/2024 5:00 PM,"1 Hours, 0 Minutes",Exelon Corporation/PECO,RF,"Pennsylvania: Chester County, Delaware County;",Cyber event that could potentially impact electric power system adequacy or reliability-- Weather or natural disaster,Unknown,130000
13,2024,1,01/09/2024 5:35 PM,01/09/2024 11:25 PM,"5 Hours, 50 Minutes",Duke Energy Progress,SERC,North Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",7209,151386
14,2024,1,01/09/2024 7:03 PM,01/14/2024 11:26 AM,"112 Hours, 23 Minutes",Detroit Edison Co,RF,Michigan:,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,172481
15,2024,1,01/09/2024 9:40 PM,01/11/2024 8:00 PM,"46 Hours, 20 Minutes",National Grid,NPCC,New York:,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,96000
16,2024,1,01/10/2024 7:05 AM,01/11/2024 7:30 AM,"24 Hours, 25 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: Maine: Rhode Island: Vermont: New Hampshire:,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,91000
17,2024,1,01/11/2024 1:01 AM,01/11/2024 1:10 AM,"0 Hours, 9 Minutes",LUMA Energy,,Puerto Rico:,System-wide voltage reductions of 3 percent or more. Firm load shedding of 100 Megawatts or more implemented under emergency operational policy-- Generator loss or failure,250,142296
18,2024,1,01/11/2024 6:40 PM,01/11/2024 8:24 PM,"1 Hours, 44 Minutes",LUMA Energy,,Puerto Rico:,System-wide voltage reductions of 3 percent or more-- Other,0,0
19,2024,1,01/12/2024 7:00 AM,. .,". Hours, . Minutes",ComEd,SERC,"Illinois: Cook County, Winnebago County, Will County, DeKalb County, DuPage County, Kane County, Boone County, McHenry County, Lake County;","Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,186778
20,2024,1,01/12/2024 7:03 PM,01/14/2024 11:26 AM,"40 Hours, 23 Minutes",Detroit Edison Co,RF,Michigan:,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,172481
21,2024,1,01/12/2024 8:38 PM,. .,". Hours, . Minutes","WEC Energy Group (WEPCO, WPSC, UMERC, WEP-MIUP)",MRO,"Wisconsin: Milwaukee County, Waukesha County, Washington County, Ozaukee County, Racine County, Kenosha County, Dodge County, Jefferson County;","Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",200,250000
22,2024,1,01/13/2024 12:43 AM,01/14/2024 5:00 PM,"40 Hours, 17 Minutes",Consumers Energy Co,RF,"Michigan: Leelanau County, Oscoda County, Ogemaw County, Alcona County, Iosco County, Arenac County, Gladwin County, Midland County, Clare County, Mecosta County, Montcalm County, Saginaw County, Shiawassee County, Clinton County, Genesee County, Ingham County, Jackson County, Hillsdale County, Lenawee County, Eaton County, Barry County, Branch County, Calhoun County, St. Joseph County, Kalamazoo","Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,175488
23,2024,1,01/13/2024 10:50 AM,01/15/2024 6:00 PM,"55 Hours, 10 Minutes",Portland General Electric Co,WECC,"Oregon: Multnomah County, Clackamas County, Washington County, Yamhill County, Hood River County;","Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",4031,165000
24,2024,1,01/14/2024 3:00 PM,. .,". Hours, . Minutes",PPL Electric Utilities Corp,RF,Pennsylvania:,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,50000
25,2024,1,01/18/2024 2:30 PM,01/18/2024 2:35 PM,"0 Hours, 5 Minutes",American Electric Power (Regulated Generation),RF,Indiana: Spencer County;,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.-- Suspicious activity",0,0
26,2024,1,01/18/2024 6:06 PM,01/19/2024 9:45 PM,"27 Hours, 39 Minutes",Portland General Electric Co,WECC,"Oregon: Clackamas County, Multnomah County, Polk County, Washington County, Yamhill County;","Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",3744,116998
